ID;name;description
1;Cavalier législatif;Un cavalier législatif désigne des amendements ou des dispositions non liés au sujet principal d'un projet de loi, mais ajoutés délibérément pour atteindre des objectifs politiques ou législatifs spécifiques.
2;Déclaration de non injonction;Déclaration publique décrivant une action qu'un fournisseur de services n'a pas effectuée. La déclaration est supprimée si le fournisseur de services obtient un ordre légal de prendre cette action mais qu'il lui est interdit de la divulguer.
3;Obstruction parlementaire;Technique parlementaire visant à retarder le plus possible l'adoption d'une loi ou plus largement d’une décision à l'aide des moyens réglementaires prévue par l’institution.
3.1;Flibustier;Consiste à parler continuellement sans interruption pour occuper le temps alloué à la discussion, retardant ainsi le vote.
3.2;Bataille d'amendement;Consiste à déposer un nombre extrêmement élevé d'amendements et à exiger la discussion de chacun d'entre eux devant le Parlement.
4;Attaque par le point d'eau;Une attaque par le point d'eau est une technique d’Intelligence juridique qui consiste à piéger un vecteur légitime afin d’infecter le théâtre juridique de la cible dans le but de rendre son droit applicable.
5;Charcutage électoral;"Le gerrymandering, le découpage électoral partisan ou encore le charcutage électoral, est le découpage des circonscriptions électorales ayant pour objectif de donner l’avantage à un parti, un candidat ou un groupe donné.

La stratégie consiste principalement à découper les districts électoraux de manière à regrouper le nombre de votes de ceux qui sont perçus comme opposants, à l’intérieur d’un nombre restreint de districts où le parti au pouvoir va perdre dans une forte proportion, mais où il va gagner par de petites majorités ailleurs, dans un plus grand nombre de districts."
6;Chicaner;Remplir les conditions verbales exactes d'un accord afin d'éviter le sens voulu.
7;Piège aux droits d'auteurs;éléments intentionnellement introduits dans des œuvres protégées par le droit d'auteur dans le but de détecter la copie ou l'utilisation non autorisée.
8;Troll aux droits d'auteurs;"Technique utilisée par certains détenteurs de droits d'auteur pour exercer une pression sur les personnes présumées avoir violé leurs droits d'auteur sur Internet. Cette technique implique d'envoyer des demandes de règlement ou des menaces de poursuites à des individus accusés de violation de droits d'auteur, souvent basées sur des preuves minces ou des demandes exagérées de dommages et intérêts. Les ""copyright trolls"" comptent souvent sur la peur de poursuites coûteuses pour inciter les personnes ciblées à accepter des règlements à l'amiable plutôt que de contester les accusations en justice."
9;Défense de rupture;Une défense de rupture (ou un procès de rupture) est un procès au cours duquel le prévenu ou l'accusé dénie au juge ou à la juridiction toute légitimité pour les juger. La défense consiste principalement à répondre non pas sur le terrain juridique mais sur le terrain politique.
10;Défense de connivence ;Une défense de connivence (ou un procès de connivence) est un procès au cours duquel les parties reconnaissent au juge ou à la juridiction la légitimité de les juger. 
11;Divulgation juridique;Les divulgations juridiques sont des techniques par lesquelles les parties impliquées sont tenues de se fournir des informations afin de constituer leurs dossiers respectifs. Cette procédure peut comprendre des demandes de documents, des réponses à des questions écrites et des dépositions.
12;Encourager la délation;Encourager la délation consiste à inciter les individus à signaler ou à dénoncer secrètement les comportements ou les activités d'autres personnes aux autorités ou à d'autres personnes en position d'autorité.
13;Procédure-bâillon;Action en justice visant à intimider et à faire taire un journaliste ou lanceur d'alerte ou à entraver la participation politique et le militantisme. Il s'agit le plus souvent d’une poursuite civile en diffamation, intentée contre un individu ou un organisme ayant pris parti dans le cadre d’un enjeu public. Le concept inclut les menaces de poursuite. Le succès d'une telle opération n'est pas tant une victoire devant les tribunaux qu'une intimidation suffisante de la partie défenderesse (celle attaquée) ou un épuisement financier la réduisant au silence.
14;Démission silencieuse;La démission silencieuse (ou quiet quitting) désigne une attitude dans laquelle un salarié cesse de s’investir au-delà du strict minimum requis par son poste. Autrement dit, il accomplit uniquement les tâches prévues par son contrat, sans engagement supplémentaire ni participation volontaire à des missions additionnelles.
15;Pilule empoisonnée;Technique de défense utilisée par une entreprise pour empêcher ou décourager une prise de contrôle hostile. Elle consiste à rendre l’entreprise moins attractive ou plus coûteuse à acquérir, par exemple, en émettant automatiquement lors d'une OPA de nouvelles actions à prix réduit pour les actionnaires existants, diluant ainsi la participation de l’acheteur potentiel
16;Piège à canaris;Technique permettant de révéler une fuite d'informations en donnant différentes versions d'un document sensible à chacun des suspects et en voyant quelle version est divulguée.
17;Parasitisme de brevets;Technique consistant à utiliser des brevets uniquement pour engager des poursuites ou exiger des redevances, sans intention réelle d’exploiter ou de développer l’invention.
18;Lobbying;Correspond à toute activité exercée dans le but d’influencer directement ou indirectement l’élaboration ou la mise en œuvre des politiques et décisions des institutions.
