ID,name,description
TECH-001,TOTO,exemple
TECH-002,Cavalier législatif,"Un cavalier législatif désigne des amendements ou des dispositions non liés au sujet principal d'un projet de loi."
TECH-003,Déclaration de non injonction,"Déclaration publique décrivant une action qu'un fournisseur de services n'a pas effectuée."
TECH-004,Obstruction parlementaire,"Technique parlementaire visant à retarder l'adoption d'une loi."
TECH-005,Flibustier,"Parler continuellement pour occuper le temps alloué à la discussion."
TECH-006,Bataille d'amendement,"Dépôt massif d'amendements pour ralentir une procédure."
TECH-007,Attaque par le point d'eau,"Technique d’intelligence juridique visant à piéger un vecteur légitime."
TECH-008,Charcutage électoral,"Découpage électoral partisan destiné à favoriser un acteur politique."
TECH-009,Chicaner,"Respect formel des termes d’un accord afin d’en détourner le sens."
TECH-010,Piège aux droits d'auteurs,"Éléments introduits dans des œuvres pour détecter une copie non autorisée."
TECH-011,Troll aux droits d'auteurs,"Pression juridique abusive fondée sur le droit d'auteur."
TECH-012,Défense de rupture,"Procès niant la légitimité du juge ou de la juridiction."
TECH-013,Défense de connivence,"Acceptation stratégique de la légitimité juridictionnelle."
TECH-014,Procédure-bâillon,"Action judiciaire visant à intimider ou réduire au silence."
TECH-015,Démission silencieuse,"Désengagement limité au strict minimum contractuel."
TECH-016,Pilule empoisonnée,"Mécanisme de défense contre une prise de contrôle hostile."
TECH-017,Piège à canaris,"Méthode de détection des fuites d’informations."
TECH-018,Parasitisme de brevets,"Exploitation stratégique de brevets sans activité d’innovation."
TECH-019,Lobbying,"Influence directe ou indirecte des décisions publiques."
TECH-020,Forum shopping,"Choix stratégique de la juridiction la plus favorable."
TECH-021,Forum running,"Saisir une juridiction en premier pour fixer le for."
TECH-022,Action torpille,"Saisine dilatoire d’une juridiction incompétente."
TECH-023,Estoppel,"Interdiction de se contredire au détriment d’autrui."
TECH-024,Déni plausible,"Capacité à nier une responsabilité en l’absence de preuve directe."
TECH-025,Grève du zèle,"Application excessive des règles afin de bloquer l’organisation."
TECH-026,Procédure de référé,"Procédure judiciaire d'urgence."
TECH-027,Consignation,"Dépôt de garantie pour préserver droits ou obligations."
TECH-028,Référé expertise,"Désignation judiciaire d’un expert."
TECH-029,Référé provision,"Avance judiciaire sur une créance non sérieusement contestable."
TECH-030,Astreinte,"Condamnation pécuniaire incitative à l’exécution."
TECH-031,Action directe,"Action d’un créancier contre le débiteur de son débiteur."
TECH-032,Action oblique,"Action exercée au nom du débiteur défaillant."
TECH-033,Action paulienne,"Inopposabilité des actes frauduleux du débiteur."
TECH-034,Action récursoire,"Action contre un tiers appelé à garantir."
TECH-035,Récusation,"Demande d’écartement d’un juge pour défaut d’impartialité."
TECH-036,Veille juridique,"Collecte et analyse systématique des évolutions du droit."
TECH-037,Veille brevet,"Surveillance des dépôts et publications de brevets."
TECH-038,Veille jurisprudentielle,"Analyse continue des décisions de justice."
TECH-039,Veille doctrinale,"Surveillance de la production doctrinale."
TECH-040,Veille contractuelle,"Surveillance des clauses et pratiques contractuelles."
TECH-041,Veille législative,"Surveillance de l’activité parlementaire."
TECH-042,Veille réglementaire,"Surveillance des textes d’application."
TECH-043,Divulgation juridique,"Échange obligatoire d’informations entre parties."
TECH-044,Collecte technique,"Intrusion, interception ou exfiltration à des fins probatoires."
TECH-045,Enquête en source ouverte,"Collecte d’informations publiques."
TECH-046,Recours à un détective privé,"Investigations confiées à un tiers agréé."
TECH-047,Obtenir des informations humaines,"Collecte d’informations par interaction humaine."
TECH-048,Renseignement humain,"Exploitation de sources humaines."
TECH-049,Ingénierie sociale,"Manipulation visant à obtenir information ou accès."
TECH-050,Constat d'huissier,"Acte probatoire établi par officier public."
TECH-051,Mesure d'instruction,"Décision judiciaire ordonnant l’établissement de preuves."
