identifiant,type,famille_juridique,groupe_conceptuel,nom,description
MS-001,MacroSystem,Global,Système,CodifiedLaw,"Système où la source principale du droit est la codification (codes, lois écrites)."
MS-002,MacroSystem,Global,Système,CaseLaw,"Système où la jurisprudence et le précédent jouent un rôle structurant."
MS-003,MacroSystem,Global,Système,ReligiousLaw,"Système où des normes religieuses reconnues organisent des pans entiers du droit."
MS-004,MacroSystem,Global,Système,CustomaryLaw,"Système où la coutume locale joue un rôle central dans la régulation sociale."
MS-005,MacroSystem,Global,Système,PoliticalAdministrativeLaw,"Système où le droit est principalement un instrument de gouvernance politique et administrative."
MS-006,MacroSystem,Global,Système,HybridPluralist,"Système combinant plusieurs ordres normatifs (étatique, religieux, coutumier, international)."
MC-001,MetaConcept,Global,Personne,Personne,"Individus ou entités auxquels le droit attribue un statut juridique."
MC-002,MetaConcept,Global,Propriété,Propriété,"Relations d'appropriation ou de contrôle sur des biens matériels ou immatériels."
MC-003,MetaConcept,Global,Responsabilité,Responsabilité,"Réponse juridique à un dommage ou manquement (faute, réparation, sanction)."
MC-004,MetaConcept,Global,Sanction,Sanction,"Conséquence imposée en cas de violation d'une norme."
MC-005,MetaConcept,Global,Procédure,Procédure,"Règles d'accès à la justice, de preuve, et de déroulement des instances."
MC-006,MetaConcept,Global,Pouvoir_Public,Pouvoir public,"Organes et institutions investis de l'autorité publique."
MC-007,MetaConcept,Global,Ordre_Social,Ordre social,"Organisation des relations familiales, communautaires et de statut."
MC-008,MetaConcept,Global,Gouvernance_Eco,Gouvernance économique,"Organisation et régulation des activités économiques et des marchés."
MC-009,MetaConcept,Global,Information_Données,Information et données,"Gestion, circulation, protection et contrôle des informations et données."
BR-U-001,Branch,Global,Organisation_Etat,Organisation de l'État et des pouvoirs,"Normes relatives à la structure de l'État, à la répartition des compétences et au contrôle des pouvoirs."
BR-U-002,Branch,Global,Relations_Privées,Relations entre personnes privées,"Normes régissant les rapports entre personnes physiques ou morales."
BR-U-003,Branch,Global,Droits_Fondamentaux,Protection des droits et libertés,"Règles protégeant libertés, droits fondamentaux et non-discrimination."
BR-U-004,Branch,Global,Responsabilité,Responsabilité et réparation,"Normes organisant la réparation des dommages et la répartition des risques."
BR-U-005,Branch,Global,Sanction,Sanction des comportements prohibés,"Normes définissant les comportements interdits et les peines associées."
